paper_id,paper_type,document_id,section_id,section_title,question,reference_answer,relevant_chunk_ids,question_type
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,6 Results,What F1 score did the 4-layer Transformer achieve on English constituency parsing in the semi-supervised setting?,"The 4-layer Transformer achieved an F1 score of 92.7 on Section 23 of WSJ in the semi-supervised setting, outperforming all previously reported models except Luong et al. at 93.0 (multi-task) and Dyer et al. at 93.3 (generative).","['715c0ee8-7094-55eb-b867-f9423c243ea3', '2d1c67d5-a9ce-514e-aef4-c19aeccd2e4a']",factual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_2,3 Model Architecture,What overall architecture does the Transformer use for both encoder and decoder?,"The Transformer uses stacked self-attention and point-wise, fully connected layers for both the encoder and decoder. The encoder maps an input sequence to continuous representations z, from which the auto-regressive decoder generates the output sequence one element at a time.","['27e6f357-04ad-5258-be67-8b458ed5e211', 'c7e04168-38fc-52f8-84e2-d22f3ee2bc83']",factual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_2,3 Model Architecture,How does the auto-regressive property of the Transformer decoder work at each generation step?,"At each step the decoder is auto-regressive, consuming all previously generated symbols as additional input when generating the next symbol. This means each output token is conditioned on the encoder output z and all tokens generated so far.","['c7e04168-38fc-52f8-84e2-d22f3ee2bc83', '736bfecf-d4ca-5590-98b7-54bcf9cd6bfc']",conceptual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,7 Conclusion,What is the key architectural distinction of the Transformer compared to previous encoder-decoder sequence transduction models?,"The Transformer is the first sequence transduction model based entirely on attention, replacing the recurrent layers most commonly used in encoder-decoder architectures with multi-headed self-attention. This allows it to be trained significantly faster than architectures based on recurrent or convolutional layers.","['965090da-983e-5f44-be4d-01474220f045', 'cabff7c0-dad5-5cee-ba66-97d2bdd6f0eb']",conceptual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,7 Conclusion,What future research directions do the Transformer authors plan to pursue?,"The authors plan to extend the Transformer to input and output modalities beyond text, investigate local and restricted attention mechanisms to efficiently handle large inputs such as images, audio, and video, and work toward making generation less sequential.","['807c8b42-6f9d-54c0-ad9a-42ef6f61ebfc', 'cabff7c0-dad5-5cee-ba66-97d2bdd6f0eb']",factual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_1,1 Introduction,What are the three advantages of pre-training listed in the survey?,The survey lists three advantages: (1) pre-training on large corpora learns universal language representations helpful for downstream tasks; (2) pre-training provides better model initialization leading to better generalization and faster convergence; (3) pre-training acts as a regularizer to avoid overfitting on small data.,"['68eb646b-93c9-56de-b38e-b41ac9b4165b', '29a1aa0f-1d95-546a-a21a-f074f328ac15']",factual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_1,1 Introduction,What two shallow architectures did Mikolov et al. propose for building word embeddings?,"Mikolov et al. proposed Continuous Bag-of-Words (CBOW) and Skip-Gram (SG) models, demonstrating that deep neural networks are not needed to build good word embeddings.",['eda5f1e8-58dd-5799-b1af-7cb43ba87106'],factual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_1,1 Introduction,What was the first successful PTM for NLP and what initialization strategy did it use?,"Dai and Le proposed the first successful PTM for NLP. They initialized LSTMs with either a language model or a sequence autoencoder, and found pre-training improves training and generalization of LSTMs across many text classification tasks.",['b80adbde-760d-5441-a1c3-04056103c010'],factual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_1,1 Introduction,Why does the Transformer require a large training corpus despite becoming the mainstream architecture for PTMs?,"Due to its heavy structure and less model bias, the Transformer is easy to overfit on small or modestly-sized datasets and requires a large training corpus. Despite this limitation, it has become the mainstream architecture for PTMs due to its powerful capacity.",['68eb646b-93c9-56de-b38e-b41ac9b4165b'],conceptual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_1,1 Introduction,What is self-supervised learning and how does the masked language model exemplify it?,"Self-supervised learning is a blend of supervised and unsupervised learning where labels are generated automatically from the data rather than provided manually. The masked language model (MLM) exemplifies this by predicting masked words in a sentence given the remaining words, using the sentence itself to generate both input and supervision signal.",['0aed13f7-9875-5e99-a80b-3f70115fe3bd'],conceptual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_3,5 Adapting PTMs to Downstream Tasks,What are the three key factors to consider when choosing a PTM for a downstream task?,"The three factors are: (1) the pre-training task — different tasks have different biases, for example the NSP task helps PTMs understand sentence relationships, benefiting QA and NLI; (2) the model architecture — BERT helps with natural language understanding but struggles to generate language; (3) data distribution — the downstream task distribution should approximate that of the PTM's training data.","['45790b84-f08c-568b-be79-6c1bd6d68b55', '310e00be-27be-5165-854f-0766543a894a']",factual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_3,5 Adapting PTMs to Downstream Tasks,What is sequential transfer learning and how does adapting PTMs to downstream tasks fit this definition?,"Sequential transfer learning adapts knowledge from a source task to a target task by learning them sequentially, with the target task having labeled data. Adapting PTMs to downstream NLP tasks is an instance of this — general language knowledge is learned during pre-training and then transferred to a specific labeled downstream task.","['27840f34-c076-5fda-82bf-0b61092e5d70', '45790b84-f08c-568b-be79-6c1bd6d68b55']",conceptual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_3,5 Adapting PTMs to Downstream Tasks,What types of multi-modal PTMs does the survey describe and what pre-training tasks do they typically use?,"The survey describes video-text PTMs such as VideoBERT and CBT, which process videos via CNN encoders and speech recognition and use tasks like visual-based MLM and visual-linguistic matching. It also describes image-text PTMs such as ViLBERT and LXMERT, which use separate encoders for image and text and target tasks like visual question answering and visual commonsense reasoning.","['37945276-b269-5c0a-880d-61dda88bc71b', '44e5c67e-8a92-545d-913b-ba159987aed3']",factual
paper_survey,Survey,e0960904-0d88-57cb-a52e-f60e01df2c7b,e0960904-0d88-57cb-a52e-f60e01df2c7b_section_3,5 Adapting PTMs to Downstream Tasks,What exiting strategy does PABEE use and how does it differ from entropy-based approaches?,"PABEE uses a patience-based strategy that allows a sample to exit early when the prediction is unchanged across a number of successive layers. This contrasts with DeepBERT and FastBERT which use the entropy of the prediction distribution as the exiting criterion, and with RightTool which uses the maximum softmax score.",['227de942-e450-5a2e-9b6f-e5883693c457'],comparative
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_2,3. Experiments,What are the two long-context domains in which MemGPT is evaluated?,"MemGPT is evaluated in two domains: conversational agents and document analysis. For conversational agents, the authors expand the Multi-Session Chat dataset and introduce two new dialogue tasks. For document analysis, they benchmark on question answering and key-value retrieval tasks including a new nested KV retrieval task.","['36e429aa-83d5-5fdb-b202-e08fb140a787', '614be032-45db-52ed-9b89-ccfd8e99b246']",factual
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_2,3. Experiments,What accuracy improvement does adding MemGPT provide to GPT-3.5 Turbo on the Deep Memory Retrieval task?,"Adding MemGPT to GPT-3.5 Turbo improves DMR accuracy from 38.7% to 66.9% and ROUGE-L from 0.394 to 0.629. By comparison, MemGPT with GPT-4 and GPT-4 Turbo achieves accuracy of 92.5% and 93.4% respectively.",['8715edec-87f3-509e-9628-739023818ca0'],factual
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_2,3. Experiments,What is the nested key-value retrieval task and what capability does it test?,"The nested KV retrieval task requires collating information across multiple data sources where key-value pairs have multiple nesting levels, for example 831..ea5 → 5b8..4c3 → f37...617. It tests the ability of an agent to perform multi-hop retrieval, following a chain of keys across multiple data sources to arrive at the final value.","['ad19da30-0b9e-564d-a133-a257d9a584b6', '36e429aa-83d5-5fdb-b202-e08fb140a787']",conceptual
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_2,3. Experiments,"What are the context window sizes for GPT-4, GPT-4 Turbo, and GPT-3.5 Turbo as used in the MemGPT experiments?","GPT-4 (gpt-4-0613) has a context window of 8,192 tokens. GPT-4 Turbo (gpt-4-1106-preview) has 128,000 tokens. GPT-3.5 Turbo (gpt-3.5-turbo-1106) has 16,385 tokens.","['0fea8ed3-3ce6-5a69-872c-a52b9fd5ff67', '614be032-45db-52ed-9b89-ccfd8e99b246']",factual
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_2,3. Experiments,How does MemGPT's performance on the document QA task compare to truncation-based approaches as document length increases?,MemGPT's performance is unaffected by increased context length. Truncation-based methods can extend the effective context length of fixed models like GPT-4 but lead to performance degradation as the required compression grows with document length.,['c6554eae-56d0-5885-8f38-92f843bf0028'],comparative
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_1,4. Related Work,What are the two primary memory types in MemGPT's OS-inspired architecture and what are their analogues in operating systems?,"MemGPT uses main context, analogous to RAM or physical memory, which consists of the LLM prompt tokens accessible during inference. External context is analogous to disk storage and holds information outside the LLM's fixed context window that must be explicitly moved into main context before the LLM can access it.","['f3216bf8-f94f-55f9-a960-2c07312c5607', 'cd5dad35-281a-531f-8ff4-acd369985114']",conceptual
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_1,4. Related Work,What are the three components of MemGPT's main context and how does function chaining enable multi-step retrieval?,"Main context consists of system instructions, working context, and a FIFO queue. Function chaining is enabled by the LLM generating the special keyword argument request_heartbeat=true in its output, which triggers immediate follow-up LLM inference allowing the system to chain multiple function calls together to perform multi-step retrieval.",['1ee35f06-0fc2-517c-94fd-e20c49ca5dfe'],factual
paper_memgpt,Applied,a85211d3-4ad5-52d0-9a49-7d351a58fe31,a85211d3-4ad5-52d0-9a49-7d351a58fe31_section_1,4. Related Work,How does MemGPT manage its own memory without user intervention?,"MemGPT provides function calls that the LLM processor uses to move data between main context and external context (archival and recall storage databases). The LLM autonomously decides when to write to or retrieve from external storage, for example when it receives a system alert about limited context space.","['9d0686dc-a23d-5431-8dfa-f130e827b607', '1ee35f06-0fc2-517c-94fd-e20c49ca5dfe']",conceptual
