page,label,section_id,section_title,nearest_prev_heading_text,heading_match,text
5,text,,1.2 Proof techniques,,False,"Upper bounds. To construct the query algorithm that attains our upper bounds, we generalize the Hadamard test and obtain an unbiased estimator for any polynomial f ( g ). The standard Hadamard test provides an unbiased estimator for Re Tr ρU and ImTr ρU , thus also for Tr ρU with one query access to CU for any state ρ . Generalizing this, we first develop an algorithm G-Hadamard that provides an unbiased estimator for the inner product"
5,text,,1.2 Proof techniques,,False,"for any pure states | φ ⟩ , | ψ ⟩ , with 2 m query access to Cg operation in Fig 1. We then observe that any polynomial function f ( g ) with degree ≤ m may be represented as"
6,text,,1.2 Proof techniques,,False,for some matrix A f . The singular value decomposition on the matrix A f then tells
6,text,,1.2 Proof techniques,,False,and the G-Hadamard is now used to estimate each of the terms indexed by i . This yields an unbiased estimator for a polynomial f with degree ≤ m .
6,text,,1.2 Proof techniques,,False,"Other generalizations of the Hadamard test has been investigated much in the literature e.g., [WRZ + 21, WBP + 24, FEK25]."
6,text,,1.3 Organization of the paper,,False,"The remainder of this paper is organized as follows. Section 2 introduces preliminary materials necessary for understanding the subsequent sections. We then prove the lower bound in Section 3 and the upper bound in Section 4. Their applications are discussed in Section 5, and some proofs are left to Section A."
6,text,,2 Preliminaries,,False,"Throughout this paper, the set of all n × m complex-valued matrices is denoted as M ( n, m, C ). For a matrix A ∈ M ( n, m, C ), A ∈ M ( n, m, C ) expresses the matrix whose entries are complex conjugate of the original matrix A , and A ∗ ∈ M ( m,n, C ) represents its adjoint matrix. For any rectangular matrices A = ( a ij ) and B , define"
6,text,,2 Preliminaries,,False,"Let N 0 = { 0 , 1 , . . . } . Let U ( d ) be the d -dimensional unitary group. Let CU be the controlled unitary operation, whose picture is expressed by the black bullet · on the controlled qubit throughout this paper, whereas the white bullet ◦ corresponds to X ⊗ I · (CU ) · X ⊗ I that applies U only when the controlled qubit is | 0 ⟩ . (See Fig 1 for example.) Let H,X , S and Toffoli gate be the gates defined in the standard manner. See e.g., [NC10]."
6,text,,2 Preliminaries,,False,"For a function f : U ( d ) → C , define the supremum norm"
6,text,,2 Preliminaries,,False,"for f, h ∈ L 2 ( U ( d )), where dg is the normalized Haar measure on U ( d ). This inner product induces the L 2 norm:"
6,text,,2.1 Prerequisites from representation theory,,False,"Here some standard materials in representation theory are described, which can be found in standard textbooks such as [FH13]."
6,text,,2.1 Prerequisites from representation theory,,False,Fact 1. There is a one-to-one correspondence between the set ̂ U ( d ) of all irreducible representations over U ( d ) and the set
6,text,,2.1 Prerequisites from representation theory,,False,and an inner product
7,text,,2.1 Prerequisites from representation theory,,False,"For an irreducible unitary representation ( π λ , V λ ) ∈ ̂ U ( d ), let dim π λ := dim V λ , and π λ ( g ) i,j (1 ≤ i, j ≤ dim π λ ) be the ( i, j ) matrix entry of π λ ( g )."
7,text,,2.1 Prerequisites from representation theory,,False,"Fact 2. For an unitary representation ( π λ , V λ ) ∈ ̂ U ( d ) , its conjugate representation (¯ π λ , ¯ V λ ) is also irreducible unitary representation and labeled by ¯ λ = ( -λ d , -λ d -1 , . . . , -λ 1 ) ∈ Z d + ."
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"By the Peter-Weyl theorem [PW27], the set of squared integrable functions over U ( d ), denoted by L 2 ( U ( d )), is decomposed as"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"(as the U ( d ) representation,) where M π λ is the space spanned by the corresponding matrix components:"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"and ̂ ⊕ represents a direct sum as Hilbert space. Each π λ ( g ) i,j is orthogonal to others w.r.t. the inner product defined in Equation (2)."
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"Fact 3 (Parseval type identity) . For any function f ∈ L 2 ( U ( d )) , its L 2 norm satisfies"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,where P λ : L 2 ( U ( d )) → L 2 ( U ( d )) is the orthogonal projection onto the subspace M π λ .
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"To state following facts in a concise manner, define"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"for d, m ≥ 1."
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"The following fact is one version of Schur-Weyl duality [EGH + 11, Section 5.19]."
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"Fact 4. There exists a unitary operator U Sch ∈ M ( d m , d m , C ) such that"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,where m λ 's are positive integers.
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"Fact 4, known as Mixed Schur-Weyl duality [BCH + 94, Ngu23, Gri25], also play an important role for our purpose."
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"Fact 5 (Mixed Schur-Weyl duality) . There exists a unitary operator W Sch ( m, ¯ m ) ∈ M ( d ( m +¯ m ) , d ( m +¯ m ) , C ) such that"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"for some positive m λ 's, where"
7,text,,"2.1.1 Peter-Weyl theorem and Schur-Weyl duality, and their consequences",,False,"Note that some zeros might be padded intermediately so that any element belongs to Z d + ; ( λ + , λ -) := ( λ + , 0 , . . . , 0 , λ -) ."
8,text,,2.2 Algorithms and Their Complexity,,False,"As we deal with lower bounds on sample complexities, we next rigorously define the computational model considered throughout this paper in the below."
8,text,,2.2 Algorithms and Their Complexity,,False,Definition 1. An m -generalized query algorithm A consists of a sequence of unitaries
8,text,,2.2 Algorithms and Their Complexity,,False,"where V i ( g ) is a unitary whose elements are polynomials in the elements of g or ¯ g with degree at most one. This algorithm has the initial register | 0 ⟩ ⊗ K where K is a large constant, and finally performs the measurement on the state"
8,text,,2.2 Algorithms and Their Complexity,,False,"Without loss of generality, we assume the measurement is performed by the computational basis. For our purpose, the algorithm for estimating a function f : U ( d ) → C is additionally equipped with an estimator ˆ f : { 0 , 1 } K → range( f ) . Based on the outcome s ∈ { 0 , 1 } K of the final measurement, the algorithm outputs ˆ f ( s ) as an estimate."
8,text,,2.2 Algorithms and Their Complexity,,False,"Remark 1. This model is a bit more powerful than the ordinary computational models since we can take g, g ∗ , Cg, Cg ∗ , for example, as V i ( g ) 's. This means our lower bounds hold in a wider class of computational models. Note that in our upper bounds we only use the ordinary computational model, which have access only to the controlledg operation, and therefore does not rely on any additional power possibly derived from Definition 1."
8,text,,2.2 Algorithms and Their Complexity,,False,Definition 2. Let f : U ( d ) → C . We say an m -generalized query algorithm A estimates the function f correctly with the averaged bias over the group G = U ( d ) less than ε if and only if
8,text,,2.2 Algorithms and Their Complexity,,False,where E S [ ˆ f ( s ) | g ] := ∑ s ∈ S |⟨ s |A ( g ) | 0 ⟩ ⊗ K | 2 ˆ f ( s ) .
8,text,,2.2 Algorithms and Their Complexity,,False,"Definition 3. Let f : U ( d ) → C . We say an m -generalized query algorithm A estimates the function f correctly with the precision parameters ( ε, δ ) iff"
8,text,,2.2 Algorithms and Their Complexity,,False,Definition 4. Let B ε ( f ) be the minimum number of generalized queries required to estimate f correctly with the averaged bias (over the group U ( d ) ) less than ε .
8,text,,2.2 Algorithms and Their Complexity,,False,"Definition 5. Let Q ε,δ ( f ) be the minimum number of generalized queries required to estimate f correctly with the precision parameters ( ε, δ ) ."
8,text,,2.2 Algorithms and Their Complexity,,False,These two complexities are related as follows.
8,text,,2.2 Algorithms and Their Complexity,,False,"Fact 6. For any function f ∈ L 2 ( U ( d )) , B ε ′ ( f ) ≤ Q ε,δ ( f ) where ε ′ := (2 δ · ∥ f ∥ sup + ε ) 2 ."
8,text,,2.2 Algorithms and Their Complexity,,False,"Proof. For any generalized query algorithm A that has an estimator ˆ f for the function f ,"
9,text,,2.2 Algorithms and Their Complexity,,False,holds for any g . Therefore we have
9,text,,2.2 Algorithms and Their Complexity,,False,when the algorithm A satisfies the PAC-learning condition: Pr( | ˆ f ( s ) -f ( g ) | > ε ) < δ for any g .
9,text,,3 Lower bound,,False,"First, define the subspace of L 2 ( U ( d )) as follows."
9,text,,3 Lower bound,,False,"where g ij 's are the matrix elements of a unitary g ∈ U ( d ). In other words, the space Q ≤ m ( U ( d )) is the set of all polynomials with degree at most m ."
9,text,,3 Lower bound,,False,The space Q ≤ m ( U ( d )) is characterized as follows.
9,text,,Proposition 2.,,False,for any f ∈ L 2 ( U ( d )) .
9,text,,Proposition 2.,,False,"Proof. Applying Fact 5 for any 0 ≤ n, ¯ n ≤ m , we observe that there exists a unitary matrix W such that for any g ∈ U ( d ),"
9,text,,Proposition 2.,,False,"for some m λ 's. This shows that any matrix element in ⊕ 0 ≤ n, ¯ n ≤ m g ⊗ n ⊗ ¯ g ⊗ ¯ n is expressed by a linear combination of π λ ( g ) i,j 's appeared in the RHS of Equation (5) and vice versa. This shows that the RHS and LHS in (4) have the same elements, since every basis in Q ≤ m ( U ( d )) appears as a matrix element of ⊕ 0 ≤ n, ¯ n ≤ m g ⊗ n ⊗ ¯ g ⊗ ¯ n . To show the direct sum property of the RHS, simply use the Peter-Weyl theorem. Therefore we obtain the desired statement."
9,text,,Proposition 2.,,False,Let us next define the quantity Rep ε ( f ) that plays a pivotal role in this paper.
9,text,,Proposition 2.,,False,"Definition 6. For a function f ∈ L 2 ( U ( d )) , define"
9,text,,Proposition 2.,,False,"Proposition 3. For any function f ∈ L 2 ( U ( d )) , B ε ( f ) = Ω( Rep ε ( f )) ."
9,text,,Proposition 2.,,False,"Remark 2. Proposition 2 implies that there is an orthogonal projection operator Q ≤ m onto Q ≤ m ( U ( d )) , that is the sum of the projections P λ where λ ∈ Λ d ( n, ¯ n ) (0 ≤ n, ¯ n ≤ m ) . As the Peter-Weyl theorem tells, there is another projection operator Q ⊥ ≤ m onto the orthogonal subspace of Q ≤ m ( U ( d )) . By Fact 3, these projections satisfy"
10,text,,Proposition 2.,,False,"Proof. Let A be an m -generalized query algorithm equipped with an estimator ˆ f : { 0 , 1 } K → range f for the function f and assume A estimates f with Bias G < ε ;"
10,text,,Proposition 2.,,False,"Since E S [ ˆ f ( s ) | g ] := ∑ s ∈ S |⟨ s |A ( g ) | 0 ⟩ ⊗ K | 2 ˆ f ( s ) ∈ Q 2 m ( U ( d )), i.e., E S [ ˆ f ( s ) | g ] is polynomial (in the matrix elements of U ( d )) with degree at most 2 m , we have Q ⊥ ≤ 2 m ( f -E S [ ˆ f ( s ) | g ]) = Q ⊥ ≤ 2 m f . This implies"
10,text,,Proposition 2.,,False,where the first inequality follows from
10,text,,Proposition 2.,,False,for any g ∈ L 2 ( U ( d )).
10,text,,Proposition 2.,,False,These arguments show that if B ε ( f ) ≤ m then ∥ Q ⊥ ≤ 2 m f ∥ 2 L 2 < ε holds. Taking the contraposition of this statement shows the desired statement.
10,text,,4 Upper bound,,False,"Algorithm 1 (Generalized Hadamard test: G-Hadamard ) . For any positive integers m and d , a binary bit b ∈ { 0 , 1 } , let A n , B n , C n and D n (1 ≤ n ≤ m ) be quantum systems whose dimensions satisfy"
10,text,,4 Upper bound,,False,and define
10,text,,4 Upper bound,,False,"Additionally, for any φ, ψ ∈ C (2 m ) d , let U φ and U ψ be unitary operators that satisfy U φ | init ⟩ ABCDE = | φ ⟩ and U ψ | init ⟩ ABCDE = | ψ ⟩ respectively where E is a finite dimensional quantum system, and | init ⟩ is some initial state on ABCDE ."
10,text,,4 Upper bound,,False,"Under these definitions and notations, a new algorithm G-Hadamard , is defined as in Fig 1 where C n ( g ) and C ′ n ( g ) are defined in Fig 2, and the final measurement is performed with the computational basis on the first qubit system."
11,text,,4 Upper bound,,False,"Proposition 4. The algorithm G-Hadamard uses 2 m queries to the controlledg operation. The probability P 0 | b ( b ∈ { 0 , 1 } ) of obtaining zero as the measurement outcome is"
11,text,,4 Upper bound,,False,"when b is set to zero, and when b is set to one. 2"
11,text,,4 Upper bound,,False,Proof. The number of the controlledg in G-Hadamard is obviously 2 m .
11,text,,4 Upper bound,,False,"In addition, the calculation of the desired probability is not so difficult. First let us investigate how C n ( g ) and C ′ n ( g ) work on HA n B n and HC n D n respectively. By definition, C n ( g ) acts as the identity on | 0 H , b A n , j B n ⟩ , and acts as | 1 H , b A n , j B n ⟩ ↦→ | 1 H ⟩ ( I ⊕ g ) | b A n , j B n ⟩ , where {| b A n ⟩} b ∈{ 0 , 1 } is the computational basis on the system A n , and {| j B n ⟩} j ≤ d is the computational basis on the system B n . This means C n ( g ) acts in the same manner as the controlled-controlledg operation on HA n B n . Similarly, C ′ n ( g ) acts the same as the controlled-controlledg operation on HC n D n ."
11,text,,4 Upper bound,,False,"In the rest of proof, we directly calculate the evolution of the initial state step by step. By a simple calculation, the state right before applying Π 1 ≤ n ≤ m C n ( g ) in Fig 1 is"
11,text,,4 Upper bound,,False,"Since C n ( g )'s act as the controlled-controlledg operation on HA n B n , after Π 1 ≤ n ≤ m C n ( g ) is applied, the state (6) becomes"
11,text,,4 Upper bound,,False,"Note that the controlledg operation on A n B n is identical to ( I ⊕ g ) A n B n . As in Fig 1, we apply X and the controlledU ψ operation to the state (7), which yields"
11,text,,4 Upper bound,,False,"Similar to the case (8), the state then changes to"
11,text,,4 Upper bound,,False,"by applying Π 1 ≤ n ≤ m C ′ n ( g ). Finally, S -b and H are applied to the state (9) which yields"
11,text,,4 Upper bound,,False,Therefore the final measurement produces zero with probability
11,text,,4 Upper bound,,False,"that equals to when b is set to zero, and"
11,text,,4 Upper bound,,False,when b
12,text,,4 Upper bound,,False,"Proposition 5. For any f ∈ L 2 ( U ( d )) , B ε ( f ) = O ( Rep ε ( f )) ."
12,text,,4 Upper bound,,False,"Proof. Our proof consists of two parts. In the first part, we create an estimator for the inner product"
12,text,,4 Upper bound,,False,"when a system E , and ˜ φ, ˜ ψ are given. In the second part, based on the estimator, we propose an estimation process for any f ∈ L 2 ( U ( d )) and analyze its efficiency."
12,text,,4 Upper bound,,False,"Proof of the first part. First, observe ( A ⊕ B ) ⊗ ( C ⊕ D ) = A ⊗ ( C ⊕ D ) ⊕ B ⊗ ( C ⊕ D ) and A ⊗ ( B ⊕ C ) ≃ ( A ⊗ B ) ⊕ ( A ⊗ C ) up to unitary equivalence, for any rectangular matrices A,B,C and D . This observation leads to"
12,text,,4 Upper bound,,False,"where Garbage is some unitary, and g ⊗ 0 = I d . Therefore"
12,text,,4 Upper bound,,False,which further leads to
12,text,,4 Upper bound,,False,"In other words, there is a unitary W such that"
12,text,,4 Upper bound,,False,"Now for any vectors ˜ φ, ˜ ψ that have the same dimension as ( ⊕ 0 ≤ n,n ′ ≤ m g ⊗ n ⊗ g ∗⊗ n ′ ⊗ I E ) , we implement Algorithm 1, G-Hadamard , with φ = W ( ˜ φ ⊕ 0 Garbage ) and ψ = W ( ˜ ψ ⊕ 0 Garbage ). Then the probability of obtaining zero at the final measurement is"
12,text,,4 Upper bound,,False,"when b is set to one. As shown below, this implementation yields an unbiased estimator for"
12,text,,4 Upper bound,,False,"when b is set to zero, and with 2 m controlledg operations."
13,text,,4 Upper bound,,False,"To see its unbiasedness, let b ∈ U { 0 , 1 } behave as the unbiased coin and perform Algorithm 1 according to the value of b . Denote its measurement outcome by M ∈ { 0 , 1 } and then define the estimator ˆ f : ( M,b ) ∈ { 0 , 1 } 2 ↦→ C as"
13,text,,4 Upper bound,,False,Then
13,text,,4 Upper bound,,False,and therefore
13,text,,4 Upper bound,,False,"Denote this estimation process by Estimation ( ˜ φ, ˜ ψ )."
13,text,,4 Upper bound,,False,"Proof of the second part. Based on the above process Estimation ( ˜ φ, ˜ ψ ), the second part of proof shows how to estimate a function f ∈ L 2 ( U ( d )) via polynomial approximation. For any f ∈ L 2 ( U ( d )), let m 0 := ( Rep ε ( f ) + 1) and observe that the projection of f onto the space Q ≤ 2 m 0 ( U ( d )) defined in Equation (3) may be written as"
13,text,,4 Upper bound,,False,"where | α | := ∑ 1 ≤ i,j ≤ d α ij for α = ( α i,j ) 1 ≤ i,j ≤ d ∈ N d × d 0 , a ( α, α ′ ) ∈ C , g α := g α 11 11 g α 12 12 · · · g α dd dd , ¯ g α ′ := ¯ g α ′ 11 11 ¯ g α ′ 12 12 · · · ¯ g α ′ dd dd . ′"
13,text,,4 Upper bound,,False,"In the following, we aim to estimate Q ≤ 2 m 0 f instead of f itself. To this end, first observe that any g α ¯ g α appears as a matrix element of ⊕ 0 ≤ n,n ′ ≤ 2 m 0 g ⊗ n ⊗ g ∗⊗ n ′ that follows from the definition of tensor product of matrices. In addition, let us observe that any function f ( x 11 , x 12 , . . . , x dd ) of the form f = ∑ i,j a ij x ij may be expressed as f = Tr AX by a matrix A when X = ( x ij ). These observations imply that there exists a matrix A such that"
13,text,,4 Upper bound,,False,"Together with Equation (10), this equation further implies"
